    Pressure         n_b          Ye          Yn        Zbar        Abar        mu_e        mu_n
 1.69044E-03   5.25385E-03   3.91874E-02   8.39985E-01   2.40000E+01   9.80000E+01   3.55395E+01   3.23543E+00
 1.70734E-03   5.32118E-03   3.89770E-02   8.40844E-01   2.40000E+01   9.80000E+01   3.56280E+01   3.25709E+00
 1.72441E-03   5.38917E-03   3.87692E-02   8.41692E-01   2.40000E+01   9.80000E+01   3.57166E+01   3.27880E+00
 1.74166E-03   5.45782E-03   3.85640E-02   8.42530E-01   2.40000E+01   9.80000E+01   3.58055E+01   3.30056E+00
 1.75911E-03   5.52500E-03   3.83675E-02   8.43333E-01   2.40000E+01   9.80000E+01   3.58918E+01   3.32170E+00
 1.77670E-03   5.59496E-03   3.81673E-02   8.44150E-01   2.40000E+01   9.80000E+01   3.59811E+01   3.34357E+00
 1.79447E-03   5.66560E-03   3.79695E-02   8.44958E-01   2.40000E+01   9.80000E+01   3.60706E+01   3.36549E+00
 1.81241E-03   5.73692E-03   3.77742E-02   8.45755E-01   2.40000E+01   9.80000E+01   3.61603E+01   3.38747E+00
 1.83054E-03   5.80892E-03   3.75812E-02   8.46543E-01   2.40000E+01   9.80000E+01   3.62503E+01   3.40950E+00
 1.84884E-03   5.88161E-03   3.73906E-02   8.47322E-01   2.40000E+01   9.80000E+01   3.63405E+01   3.43159E+00
 1.86733E-03   5.95499E-03   3.72024E-02   8.48090E-01   2.40000E+01   9.80000E+01   3.64309E+01   3.45373E+00
 1.88601E-03   6.02907E-03   3.70164E-02   8.48850E-01   2.40000E+01   9.80000E+01   3.65215E+01   3.47592E+00
 1.90487E-03   6.10385E-03   3.68327E-02   8.49600E-01   2.40000E+01   9.80000E+01   3.66124E+01   3.49817E+00
 1.92391E-03   6.17935E-03   3.66512E-02   8.50341E-01   2.40000E+01   9.80000E+01   3.67034E+01   3.52048E+00
 1.94315E-03   6.25557E-03   3.64718E-02   8.51070E-01   2.39996E+01   9.80004E+01   3.67947E+01   3.54284E+00
 1.96258E-03   6.37640E-03   3.60433E-02   8.45488E-01   2.30762E+01   9.89238E+01   3.68858E+01   3.56485E+00
 1.98220E-03   6.45464E-03   3.58692E-02   8.45606E-01   2.30000E+01   9.90000E+01   3.69775E+01   3.58618E+00
 2.00202E-03   6.52963E-03   3.57189E-02   8.46253E-01   2.30000E+01   9.90000E+01   3.70695E+01   3.60755E+00
 2.02202E-03   6.59851E-03   3.55836E-02   8.46836E-01   2.30000E+01   9.90000E+01   3.71535E+01   3.62706E+00
 2.04224E-03   6.67478E-03   3.54366E-02   8.47469E-01   2.30000E+01   9.90000E+01   3.72459E+01   3.64853E+00
 2.06267E-03   6.75174E-03   3.52912E-02   8.48094E-01   2.30000E+01   9.90000E+01   3.73385E+01   3.67005E+00
